SHIPPER ACCOUNT NUMBER,SHIPPER ACCOUNT NAME,SHIPPER COMPANY NAME,SHIPPER ADDRESS,SHIPPER CONTACT PERSON,SHIPPER CONTACT NUMBER
,Lung Center/PBSP,Lung Center/PBSP,"Rm. 1-F NCPR Bldg., DSM Unit Lung Center of the Philippines Compound Quezon Avenue, Quezon City",Ms. Cely,0918-9912568/924-6101 Loc. 316/921-5877
,MACAU GOVERNMENT TOURIST OFFICE,MACAU GOVERNMENT TOURIST OFFICE,"11th Floor Valero Tower,Valero Street,Salcedo Vill.,Makati City",Ms.Tess,812-2595- Follow Up 813-47-81
,MACCAFERRI (PHILIPPINES) INC,MACCAFERRI (PHILIPPINES) INC,"NEW ADD: 11/F Asian Star Bldg., Asean Dr., cor. Singapura Lane, Filinvest Corporate City, Alabang, Muntinlupa",Leah Dela Cruz,889-0627 (Thur. Aft)
,Macroasia Properties Development Corporation,Macroasia Properties Development Corporation,12/F Allied Bank Center 6754 Ayala Avenue Makati City,Eileen Alcantara-Dazo,840-2001 loc.211
,MACROLITE CORPORATION,MACROLITE CORPORATION,8F Suite 808 W-Tower PSE Bldg. Ortigas Center Pasig City/ SOUTH,Honey Marquez,632-6371488
,MAKATI DEVELOPMENT CORPORATION,MAKATI DEVELOPMENT CORPORATION,"G/F Bonifacio Technology Center 23rd Street Fort Bonifacio, Taguig City",Ysa,0917-5763846
,Manuel Igual Inc.,Manuel Igual Inc.,"Room 309, Natioanl Life Bldg., Ayala Ave., Makati City/ LEGASPI",Brenda,514-3534/812-6945
,Manulife,Manulife,"14 F LKG Tower,Makati City",Sharon,-
,Map House Marketing,Map House Marketing,"1160 Dr. Conception Aguila St., Quapo, Manila(back of National Teacher College)",Melba Cunanan,749-2325/0949-9538811
,Mapfre,Mapfre,Insular Life Building. 3/F Ayala Avenue Makati City,Nikko,902-2800/Acctg. 876-4444
,Margaret Cruz,Margaret Cruz,"225B Col Santos, South Cembo, Makati City",None,9941372
,MARGARET ONG,MARGARET ONG,47 TABAYOC STREET QUEZON CITY 1102,None,0917-8173213
,MARGTON INTERNATIONAL,MARGTON INTERNATIONAL,7495 Willow St. Brgy. Marcelo Green Paranaque Ciy,Paulette Cui,721-2277
,Maria Socorro Andal ,Maria Socorro Andal ,2926 Mayapis St. UPS 2 Brgy. San Martin De Porres,Maria Andal,
,Marites Pineda,Marites Pineda,22 Xavier St. Green Hills West San Juan City,None,5842033
,Mash Gatmaitan ( Alveo ),Mash Gatmaitan ( Alveo ),728 28 Street Bonifacio Global City Taguig 4th Floor,None,0917-833140
,Mclink Philippines Corp.,Mclink Philippines Corp.,1705 17th floor tycoon center pearl drive Ortigas Center Pasig City,Sheryl Paras,9178532059
,MEDEV Medical Devices Corporation,MEDEV Medical Devices Corporation,"Supercare Medical Services, Inc.573 Patria Bldg., Maria Orosa cor. Engracia Reyes (formerly Arkansas",None,822-6376
,MEDIA POOL INC.,MEDIA POOL INC.,Unit 909 Paragon Plaza 162 Reliance Mandaluyong City,Nerizza Nido,687-0503 loc. 207 Ms. Lyn 221 Jess Sorio Jr
,MEGA FORTRIS PHILS.INC.,MEGA FORTRIS PHILS.INC.,Unit 513 5f peninsula Court 8735 Paseo de Roxas cor. Makati Ave. Makati city,Clarissa,812-8940-acctg. 8128240
,MEKANISMO INC.,MEKANISMO INC.,"Unit 101 Amber Place, NO.67 Bayani Road, Fort Bonifacio, Taguig City",Deborah Sheen Anino,697 2890 / 0926 947 8465/028461878/028461878
,METAFORMATION SYSTEM INC.,METAFORMATION SYSTEM INC.,140 PANGHULO RD. MALABON,None,372-6533/Ms.Jonah
,Metro Combined,Metro Combined,"Carmona, Cavite (On Site)",Heloisa Masculino,847-0914
,Metro Ministries Foundation Inc.,Metro Ministries Foundation Inc.,Lot 7 Block 8 Peter Street Multinational Villa Paranaque CIty,Amor Fuentes,825-9645/541-0040/846-0083
,Metro World Child Foundation Inc.,Metro World Child Foundation Inc.,New Add: 40 Peter Street Multinational Villa Paranaque City,Fuentes Amor,825-9645/541-0040/846-0083
,Microgenetix Incorporated,Microgenetix Incorporated,2f PSME building No. 19 Scout Bayoran Brgy South Triangle Quezon City,Jezzamine Rosario,412-0954/4533769/09062361501
,"Microimaging Sales and Services, Inc.","Microimaging Sales and Services, Inc.","2247 Chino Roces Avenue, Makati City/Kodak Blsg. or Sunny Vale Bldg.",None,NONE
,MICROPRECISSION CALIBRATION,MICROPRECISSION CALIBRATION,"Rm. 602 Common Goal Tower Madrigal Business Park Alabang, Muntinlupa City",Annie Aligato,809-3716 LAGUNA- 0495093015
,MIDAS HOTEL,MIDAS HOTEL,"2702 Roxas Boulevard, Pasay City",Marvin MarquesLim,902-0100
,MIDWIVES FOUNDATION,MIDWIVES FOUNDATION,Unit 724 City LAnd Shaw Tower Cor. St. Francis St. shaw Blvd. Mandaluyong City,Paz Gonzaga,633-8948
,MIGHTY DOVE,MIGHTY DOVE,"Suite 20 Citiland 10 Tower II 154 HV Dela Costa St.,Salcedo Vill.MAkati City",Ms. Ren,553-9594(Acctng. 892-60-34)
,MINT BRAND,MINT BRAND,"18F(Li and Fung) One Corporate Center,Dona Julia Vargas Avenue Corner Meralco Avenue, Ortigas Cente",Lileth Young,Collection: 798-5331(10 & 25 of mo.) 798-5343 MARIZ
,MIRSI,MIRSI,954 Pres.Quirino Ave.cor. San Marcelino St. Malate Manila/ SOUTH,Nene,5273624/5273625 (fax:527-3625)
,MITC INT. MAN POWER SERVICES,MITC INT. MAN POWER SERVICES,Unit 305 PMHA BLDG. EAST AVENUE CORNER VILUNA BRGY. PINYAHAN DILIMAN QC./ SOUTH,Ms. Ann,2811911
,MJ DECOR 888,MJ DECOR 888,"no. 101 19th Ave., San Roque, Cubao, Quezon City/ EAST",Lyn Macampo,932-8888/421-4518SHAMIE
,Molave Trading Inc.,Molave Trading Inc.,"891 Edsa quezon city , Near at seaoil station and red gate./ SOUTH",Gel Almario ,9242223/4110360
,MONTANOSA PASTORAL RESOURCES CORP.,MONTANOSA PASTORAL RESOURCES CORP.,"Porta Vaga Dept.Store., Porta VagaMall Session Road Baguio City",Ms. Dana Lee,0917-8403262
,MOVMENTO,MOVMENTO,"2305 B East Tower Phil. Stock Exchange, Exchange Road, Brgy. San Antonio Ortigas Center, Origas, Pas",Barbi,687-4412 loc 306/ 687-9059 fax
,Mr Emiliano Galvez,Mr Emiliano Galvez,No 30 Olivia Road Pilar Village Las Pinas City,Emiliano Galvez,801-2626
,MRC Allied Industries,MRC Allied Industries,"5/F Eurovilla 4 Bldg., 853 A. Arniz Avenue Makati City",Lanie Villanueva,846-7910
,MS WORLDWIDE,MS WORLDWIDE,"910 West Tower, 9 FLOOR Tektite Bldg.Ortigas , Pasig City/ INSIDE-SOUTH",Francis,NEW 622-8107
,Ms. Christine Ong,Ms. Christine Ong,East Bay Residences tower 2 Km.21 East Service Road cupang muntinlupa,None,219-4733/ 0921-5780861
,Ms. Elvie Garces ,Ms. Elvie Garces ,29th flr. Ayala Land Tower One Ayala Ave. Makati City,None,.
,MS. GIRLIE VARGAS,MS. GIRLIE VARGAS,"Lot 2 Blk 90 Karatig Road,Karangalan Village,Manggahan,Pasig City (Near MHOA)/ OUTSIDE",None,9198995623
,Ms. Mach Gatmaitan,Ms. Mach Gatmaitan,4F Champions M.A Dept. 728 28th St. Bonifacio Global City Taguig,Mach Gatmaitan,0917-8331430
,Ms. Violy Venturanza,Ms. Violy Venturanza,"4425 Via Del Imaculata St.BF Italia 500,BF Resort,Talon 2,Las Pinas City",None,872-0007
,Multitest Electronics Systems Philippines Corpora,Multitest Electronics Systems Philippines Corpora,"Unit 202 Alabang Business Tower Acacia Avenue, Madrigal Business Park Ayala Alabang Muntinlupa",ms.nancy/ms.joy,8093219
,MUSEUM FOUNDATION OF THE PHILIPPINES,MUSEUM FOUNDATION OF THE PHILIPPINES,"G/F Museum of the Filipino Bldg.,Valencia Circle Rizal Ave.Park, Manila/ SOUTH",Elvie Magpayo,404-2685/6979509
,Museum of Contemporary Arts and Design,Museum of Contemporary Arts and Design,College of Saint Benilde School of Design & Arts Bldg .groud floor Dominga St. Pasay City,Mary Ann Peria,230-5100 loc 3897-DAVY
,MVMA INTL. RESOURCES INC.,MVMA INTL. RESOURCES INC.,Unit 411 Tower B Wack wack twin tower wack wack Rd. Mandaluyong City,Marites Santo domingo,531-9827/ 0998-573-4676
,MY HEALTH CLINIC,MY HEALTH CLINIC,3rd Floor Algo Bldg. 162 L.P. Leviste Street Salcedo Village Makati City,Joyce,403-9212/403-9213 FFUP/acctng. 881-64-30 ms joy defensor
,MYZ ALTA MUEBLES ENTERPRISES,MYZ ALTA MUEBLES ENTERPRISES,Unit 77 Sumulong Highway Brgy. Mayamot Antipolo City( Sa Likoran ng SM MASINAG),Ms. Mercy,260-0206/ 0910-5291001
,Nacionale Insurance Solutions,Nacionale Insurance Solutions,LG 58 Cityland Dela Rosa Condominium Inc. 7648 Dela Rosa Street Pio Del Pilar Makati City,Bagui,822-5137-aze
,Nema Electric Company Inc,Nema Electric Company Inc,Nema Center 506 Calbayog St. Brgy Highway Hills Mandaluyong City,Mam Rachelle/elvie,5314714 to 19
,NEST BUILDERS,NEST BUILDERS,#60 Northridge Mansion Condominium Rd.13 Brgy. Bagong Pag-asa Quezon City,Mrs. Kim Leal/Ms Ven,453-4345
,Network Magazine,Network Magazine,"1005 10f Cityland 10 Tower 2 HV Dela Costa St,. Salcedo Village Makati City.",Maritoni,840-0758
,New Alliance Construction Supply,New Alliance Construction Supply,15 edsa bangkal makati city,Henry Chua,8334830
,NICK DAGEN COMPANY,NICK DAGEN COMPANY,7037 Wilson Street Corner Jacinto Pio Del Pilar Makati City,Danilo Sta.Lucia,9189190069
,"NIKE PHILIPPINES, INC.","NIKE PHILIPPINES, INC.","10th flr Marajo Tower 26th west corner 4th Ave. Global City, Taguig City/ INSIDE",Chin Sunaga,588-1201/588-1281
,NOGRALES LAW OFFICES,NOGRALES LAW OFFICES,"22nd Floor, Phil. Stock Exchange Centre West Tower Exchange Road Ortigas Ctr, Pasig/ INSIDE-SOUTH",Jenny Catolico,9892908/CONTACT NO. 636 1079
,North Field,North Field,8 Fil Star Avenue SBIC Tikay Malolos Bulacan,Ms. Anna,none
,NPK MEDICAL TRADING INC.,NPK MEDICAL TRADING INC.,No. 62 Cordillera St. Dona Josefa Quezon City/ SOUTH,None,4166050
,NTRL,NTRL,Alabang Muntinlupa City,None,8888888
,"NuWorks Interactive Labs, Inc.","NuWorks Interactive Labs, Inc.","U3801, 38th Floor, One Corporate Ctr., D Julia Vargas Ave., Ortigas Ctr, Pasig/ INSIDE-SOUTH",Diane Aguila,310-1359
,Nyquist Imaging Systems Inc,Nyquist Imaging Systems Inc,Mezamine Flr. Belkenz Tower No.127 Malakas St. Brgy. Central Diliman Quezon City,Ms.Jojie,434-1142
,"Nyxsys Phils., Inc.","Nyxsys Phils., Inc.","Ground Floor Paragon Plaza Bldg., 162 Edsa Cor., Reliance St., Mandaluyong City",Osmond James Reantaso,687-0503 local- 207 or 213
,ODFJELL PHILS. INC.,ODFJELL PHILS. INC.,"5/F 2315 Atlantis Beacon Tower, Leon Guinto St., Malate, Manila/ SOUTH",Ms. Zyra,NEW- 4055020 loc. 703
,OMNI Printers Ink Inc,OMNI Printers Ink Inc,"8580 C-D Cruz Cmpd.,Brgy. San Isidro Paranaque City",Cherry,807 4613 / 0915-728 1406
,"Omnibus Bio-Medical Systems, Inc","Omnibus Bio-Medical Systems, Inc","4th Floor Wilson Corporate Center 225 Wilson Street, Greenhills, San Juan City",Carissa,722.4607 / 727.1058/FFUP OF CHECK 726-1441 LEONY
,Omnivet Corporation,Omnivet Corporation,2nd Flr. CVM Bldg. Manila East Road Kaytikling Brgy. Dolores Taytay Rizal,Joan Ga,2843367/09324148378
,ONE TOP SYSTEM RESOURCES,ONE TOP SYSTEM RESOURCES,Unit 6A 8101 Pearl Plaza Pearl Drive Ortigas Center Brgy. San Antonio Pasig City,Therese Angeles Liwanag,0930-9765585/392-0124
,One Touch,One Touch,"3rd Floor TOPYS Place Bldg. Economia Street, Bagumbayan Quezon City",Tintin Pin,437 06 80 to 82
,OPEN TEXT (PHILIPPINES) INC. (formerly GXS),OPEN TEXT (PHILIPPINES) INC. (formerly GXS),35th Floor 36th Floor Tower 2 RCBC Plaza 6819 Ayala Avenue corner Sen Gil Puyat Avenue Makati City,Roda Merca,6324622001
,OPTIMAL SYSTEM,OPTIMAL SYSTEM,120 El Rodriguez Ave. Cor. Ortigas Ave. Brgy. Ugong Pasig City,Mr. Rechie/Percy/uni,620-2988 LOC 311
,Orchard Property,Orchard Property,7th Floor Phil. Stock Exchange Center West Tower Ortigas Center Pasig CIty,Roan,0922-8965084/635-4946
,Ove Arup & Partners HK Ltd (Phils. Br.),Ove Arup & Partners HK Ltd (Phils. Br.),4/F Rockwell Business Center ortigas pasig city beside medical City,Christine Dizon,470-6010 COLL:485-8200 (FRIDAY)
,P&A Grant Thornton Outsourcing Inc.,P&A Grant Thornton Outsourcing Inc.,"23/F Tower 1 The Enterprise Center 6766 Ayala Ave., Legaspi Village Brgy. San Lorenzo, Makati City",Manny Luciano,8865511
,Pacific Fumigation Co. Inc.,Pacific Fumigation Co. Inc.,"5461 Osmena Highway corner Boyles St., Makati City",Ms. Donna,889-3224 / 889-5676 / 845-3370
,PACIFIC HUB,PACIFIC HUB,"10/F 409 Shaw Blvd., Mandaluyong City",Weng Belen,634-7444 loc 1035(collection 531-02-90)
,PACIFIC INTER ASIA SATELLITE NETWORK CORP,PACIFIC INTER ASIA SATELLITE NETWORK CORP,1711 LM Guerrero st. cor. gen.malvar malate manila,Ms. Emy,5228603
,PALL(PHILIPPINES) INC.,PALL(PHILIPPINES) INC.,16th Flr. Tower II Insular Life Corporate Center Insular Drive Filinvest Corporate City Alabang Munt,May,853-9503 or 02
,PANAMED PHILIPPINES INC.,PANAMED PHILIPPINES INC.,29th Floor Antel Global Corp. corner J. Vargas Ortigas Center Pasig City,Vhan Alvarez,687 7888 local 752
,Paragon Plaza Condominium Corporation,Paragon Plaza Condominium Corporation,"Ground Floor Paragon Plaza Bldg., 162 Edsa Cor., Reliance St., Mandaluyong City",Irene,6364933
,Parkershot Photography,Parkershot Photography,"Unit 204 Don Raul Bldg., 77 Kamuning Road Quezon City/ SOUTH",Ms.Abi /Jhona,355-9652/0917-5800926 Jonah Sebastian
,PE and J Marketing,PE and J Marketing,"Unit 1617 16/F EDSA Grand Residence,75 Corregidor St. Bagobantay Quezon/ NORTH",Jun Perez,282-4511
,PEB Steel Buildings Co. Ltd.,PEB Steel Buildings Co. Ltd.,"12/F A Place Bldg., Coral Way, MOA Complex, Pasay City",Mr. Anthony Braganza,02-8137684/7680/09178029994
,Petracarbon Pte Ltd (Phil.Representative Office)-,Petracarbon Pte Ltd (Phil.Representative Office)-,Unit 221 Peninsula Court 8735 Paseo de Roxas Makati City,Cherry Vitug,867-1726
,Petrogen Insurance Corp,Petrogen Insurance Corp,"SMC Head Office Corp.F 40 San Miguel Avenue, Mandaluyong City",Ferdie Cabello ,884-9200 loc 200 Collection loc. 49393 (Loc 40928-Col) 40944 fiona
,PHARMASERV EXPRESS INC.,PHARMASERV EXPRESS INC.,"# 22 East avenue, Barangay Pinyahan > Quezon city",Andrian Perez,9175264130/4339000
,Pharos Off-Grid Technologies,Pharos Off-Grid Technologies,2660 Park Ave. Pasay City (Head Office Gateway Center 3F #315 Paseo de Magallanes Makati City)infro,Jenny,8310722/Collection:8518370
,Phil. Arts Events Inc.,Phil. Arts Events Inc.,PHIL ARTS EVENT INC. MEZZANINE C4 LPL CENTER NO.130 LEVISTE STREET SALCEDO MAKATI CITY,Geraldine Araneta,831-0953
,PHIL.BUSINESS for SOCIAL PROGRESS,PHIL.BUSINESS for SOCIAL PROGRESS,"2/F PSDC Bldg., Magallanes Corner Real Street, Intramuros, Manila/ SOUTH",Gerald,527-3749 Sir Ferdie (587-5927) Collection: 527 5987
,PHIL.INTER PHARMA MANILA CO.,PHIL.INTER PHARMA MANILA CO.,"31st Floor Jollibee Plaza Emerald Ave.,Ortigas Center Pasig City/ INSIDE-NORTH",Michelle,NEW NO. 6316914
,PHILAB INDUSTRIES INC.,PHILAB INDUSTRIES INC.,NEW ADDRESS: 8TH FLOOR HANGINE BLDG. 38 ST BONIFACIO GLOBAL CITY TAGUIG,Josie Gracilla,897-0597/890-8278/896-6658
,Philippine Business for the Environment,Philippine Business for the Environment,New Add: 2506 25th flr. Tycoon Tower pearl drive Ortigas Pasig/ INSIDE-SOUTH,Camille,635-2651 / 631-5714/635-3670
,Philippine Desiccants Inc.,Philippine Desiccants Inc.,"#15 Jasmine St., South Green Park, Km.18, Paranaque City/ COLLECTION EVERY FRIDAY",Irish,821-0118/7763152-53/0906-2453931 office mobile TIME FOR COLLECTION 1-4PM
,Philippine General Hospital,Philippine General Hospital,"Blood Bank PGH, Taft Ave. Manila",Angelina Mirasol,None
,Philippine Resources Journal,Philippine Resources Journal,15/F Unit 1515 Cityland 10 Tower 1 6815 Ayala Avenue North Makati City Landmark Likod ng RCBC,Ma. Cecilia Pamular,772-1375/09173081971
,Philippine Stock Exchange Plaza ( PSE ),Philippine Stock Exchange Plaza ( PSE ),3F Ayala Triangle Ayala Avenue Makati City 1226 (Board Secretariat),Ms.Nicole/Ms.Haide,688-7414
,Philippine Tuberculosis Society Inc.,Philippine Tuberculosis Society Inc.,Philippine Tuberculosis Society Inc. Quezon Institute Eulogio Rodriguez Ave. Espana Ext. Quezon City,Ms Agentina,"781-3747, 781-3761-COLLECTION"
,PHILIPPINE WOOD PRODUCERS ASSOC. ,PHILIPPINE WOOD PRODUCERS ASSOC. ,"3F LTA Bldg., 118 Paria Street,Legaspi Village, Makati City",Sir Regie,817-6751FOLLOW UP / 8176885 Mr. Regie
,PHILSHOPPING.COM INC. ,PHILSHOPPING.COM INC. ,"Unit 309 Don Tim Bldg.,5438 Pres.OSmena Hi-way Makati City",None,569-5551/50
,PHIVOLCS,PHIVOLCS,"CP Garcia Avenue UP Diliman Campus, Diliman Quezon City/ NORTH",Gie Gelido,426-1468 142 (137-ACCTNG) LOCAL 139 LOUIE/FAYE ANNE
,PHOEBEN TEOCSON VIDEOGRAPHY,PHOEBEN TEOCSON VIDEOGRAPHY,"# 9 Mangga Road New Manila, Quezon City",Pheoben Teocson,725-1013
,PILIPINAS SHELL FOUNDATION,PILIPINAS SHELL FOUNDATION,"4th Floor Shell House Bldg. Valero Corner Villar Street, Makati City",None,816-6229 (collection follow up 7992 Sir Nike-816-6501
,Pinnacle Real Estate Consulting Svcs Inc.,Pinnacle Real Estate Consulting Svcs Inc.,Unit 107 First Midland Office Condominium Bldg Gamboa S Legaspi Village Makati City,Vanessa Billones,859-1000 new company as pinacle LOC. 1013 LOOK FOR MS rebecca duran
,PITC PHARMA,PITC PHARMA,NDC BLDG 2ND FLOOR 116 TORDICILLAS ST. SALCEDO VILLAGE MAKATI CITY,Allan,840-1123 /840-2680/896-1647
,Plan International Inc.,Plan International Inc.,"4/F Bloomingdale Bldg., #205 Salcedo St., Legaspi Vill., Makati City",Nimfa Lahaylahay,813-0030 to 32
,PLANDOTCOM,PLANDOTCOM,Manila Protection Inc. no.36 Laura Drive 1st Ave. Bagongbayan Taguig/ OUTSIDE,Ms. Rena,0917-596-6511/504-0780
,PNGOC( Philippine NGO Council on Population Health,PNGOC( Philippine NGO Council on Population Health,"Unit 305 Diplomat Condominium Bldg.,Russel Avenue, Roxas Blvd Pasay City( upper of KFC in Baclaran)",Ms.Jenny,852-1898/832-3267/collection 8534345
,POLYTECHNIQUE MANUFACTURING INC,POLYTECHNIQUE MANUFACTURING INC,6039 Palma Street Brgy Poblacion Makati City/ NORTH,Ms. Lita,899-2608 TO 10
,Prebiotech-Warehouse,Prebiotech-Warehouse,"Dr. A Santos Ave., SM BF,BF Homes #193 Concha Cruz Drive, Paranaque City",Jun Sedurifa,772-3629/478-1219
,Prime Global Prints Inc.,Prime Global Prints Inc.,1124 Rodriguez Ave. Bangkal Makati City,Lheen Marcos,8566690/8894036
,Primer International Holdings & Management Inc.,Primer International Holdings & Management Inc.,"Prime Star Center 2282 Leon Guinto Street, Malate,Manila",Danny Suelo,521-5916/303-4030/303-1234 loc2202 or 3101 Loc 321 Alo
,Printsonalities,Printsonalities,"Unit 1 Southway Condominium Mayapis cor. Bakawan Sts., San Antonio Village, Makati/ WEST",Esmie Ricarte,Baich 894-1500- printsonalities 964-31-23
,Proser Health Services Inc.,Proser Health Services Inc.,"Unit 384, 6 floor Rockwell Business Tower 3 Otigas Avenue ( Meralco) Pasig City",Gladys Manansala,835-6862 LOC 222
,Psychconsulting,Psychconsulting,Unit 227 Regalia Towers 150 P Tuazon Boulevard Cubao Quezon City/ EAST,Joy Samudio,4212469/EVERY WEDNESDAY
,"QUALI CENTRAL SOURCING, INC.","QUALI CENTRAL SOURCING, INC.",NO 1 CJ CAPARAS STREET BO UGONG PASIG CITY/ OUTSIDE,Dolly Tolentino,788-1000/ Sir Roger 6717452 local 110 /Warehouse Sir Roy
,Qualicare Pharma Inc.,Qualicare Pharma Inc.,"Unit 801 8th Flr. One Corporate Condominium, Julia Vargas St.,. Ortigas Ave. Pasig/INSIDE-SOUTH",Gelyn,634-4842
,Qualimed pharma,Qualimed pharma,8/F ONE CORPORATE CONDO. JULIA VARGAS ST. ORTIGAS AVE. PASIG CITY,Ms.Geline,634-4842/477-9878 FFUP 687-9108
,Qualiserv Trends & Mktg Corp.,Qualiserv Trends & Mktg Corp.,"GF JM Bldg II, Rockefeller Street cor Pres Osmena Hiway Brgy San Isidro, Makati/ WEST",Lennon Jotojot,885 7334 (Collection:843-3600)
,QUESTCORE,QUESTCORE,8071 ESTRELLA STREET SAN ANTONIO VILLAGE MAKATI CITY,Len  ,899-2384/collection: 896-6924
,QUINTA RADDISON PHILS. INC.,QUINTA RADDISON PHILS. INC.,"Unit 710,7/F Prestige Tower Condm F.Ortigas Jr.Road(Emerald Ave.)Ortigas Ctr/ INSIDE-NORTH",Jennifer Santos,650-1807 / 650-1806 MAM JHEN
,Qzine Marketing,Qzine Marketing,"Qzine Warehouse-Sitio Ruhat, Bgay. Mambugan.Antipolo City (left side sya before JAC Liner, in f",Ms.Rose/ARLENE,858-5841 /follow upMs.Rose-6555841
,Raemuland Lands Inc.,Raemuland Lands Inc.,"Level 37, Joy-Nostalg Center no. 17 ADB Avenue, Ortigas Center Pasig City",Poel Pingol,5708888 loc. 215
,RALCO COMMERCIAL TRADING,RALCO COMMERCIAL TRADING,"S-F Building Cordillera Street., Brgy Dona Aurora Quezon City",Divina Pinlac,0917-3296699/708-7399
,RATH Bone and Co.,RATH Bone and Co.,"17-88 Marian Road 2, Paranaque City",Sir Jerry,823-3042
,RED ANT COURIER,RED ANT COURIER,70 Lanete Rd. Pilar Village Las Pinas City,Frederick Blanco,0917-575-1800/775-0552
,Red Planet Hotel,Red Planet Hotel,Mercado St. Cor Calderon . Brgy Poblacion makati city/ NORTH,Jocelyn Sulabas,"519- 0888 loc. 105-115 RAQUEL108/acctg.loc.106 Ms Nancy: 109, 464-9231-ACCOUNTING 519-0888"
,Regent Asia Group,Regent Asia Group,"35 Calbayog St. J & E Bldg., mandaluyong City",Ms. Neth,534-0194
,Regidor Enterprises,Regidor Enterprises,142 C J. Arellano St. Brgy Tibagan San Juan City,Eva Manio,654-5906
,Remax International Incorporated,Remax International Incorporated,"#18 United Street Kapitolyo, Pasig City",Ms. Gladys,Phone: +63 (2) 687 6923 to 32 loc. 704
,REPUBLIC CHEMICAL INDUSTRIES INC,REPUBLIC CHEMICAL INDUSTRIES INC,127 Progress Avenue Carmelray Industrial Park 1 Canlubang Calamba Laguna,Melanie Norte,488-9999 LOCAL 169
,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,LOWER PENTHAUSE 3203-3204 TYCOON CTR PEARL DRIVE ORTIGAS PASIG/ INSIDE-SOUTH,Amadeo Gutierrez,7060800 Loc 130
,Respicare,Respicare,Narciso 1 bldg #22 morning star drive Sunville subd. Brgy vasra qc .,Ms.Mara,n/a
,RI CHEMICAL CORPORATION,RI CHEMICAL CORPORATION,"E.Rodriguez Jr. Avenue, Bagong Ilog, Pasig City, Philippines 1600",Margot B. Dinglasa,671.9842
,RICOH PHILS. INC.,RICOH PHILS. INC.,"G/F Oppen Bldg.,Sen. Gil Puyat Avenue Makati City/ NORTH",Jaclyn Lerit,865-9500 new Acctng.local 1216
,Risa Santos-Personal,Risa Santos-Personal,"Phase 1 Block 10 Lot 4 Section 4 Belvedere Towne, Paradahan 1,Tanza, Cavite",Risa Santos,-
,RITM-Virology Department,RITM-Virology Department,"9002 Drive Filinvest Alabang, Muntinlupa City",Leony,807-2628 LOC 605
,RJ Tech,RJ Tech,Warehauz II Peterbelt Compound Veterans Center Western Bicutan Taguig City,NOne,551-1216/0917-5338610/398-5295 MAM TINA
,Rushmore Imports Unlimited Inc.,Rushmore Imports Unlimited Inc.,4378 Montojo St. Brgy. Tejeros Makati City,April Songco,801-4158/890-0385 FFUP MAM PEARL RUSH MORE
,RVA TRADING,RVA TRADING,"1997 M. Reyes Street Corner Macabulos, Bangkal, Makati City",Divina Oro,501-3094/8892159----501-3043 Acctg. 659 0378 Sir Cris/MAM CHE
,SAGITTARIUS MINES INC.,SAGITTARIUS MINES INC.,"New Address: Unit 502 P. Pacific Drive, 5F Five E-com Center Bldg.Pacifiic Drive Extension Mall of A",Mark Williams,NEW CONTACT 856 3023 / 8563021 to 25 loc. 208 for Grace or Reggie
,Sandy Sierra,Sandy Sierra,14 Sta. Lucia Street BF Homes Rio Gardens Homes Las Pinas City,Sandy Sierra,0917-8141562
,SANSHU LG PHILS.,SANSHU LG PHILS.,Unit 6A Westgate Tower Madrigal Business Park Muntinlupa,Mr. Rey,842-6842
,SAS INSTITUTE PHILS.,SAS INSTITUTE PHILS.,21/F Equitable Tower 8741 Paseo De Roxas Makati City/ SALCEDO,Carol,792-2200/2210 (loc 2244)--844-4430 THURSDAY FOLLOW-UP
,SAVE THE CHILDREN,SAVE THE CHILDREN,"Midland Bldg. No.1040 Edsa Magallanes Village, Makati City(beside Premier Bank)/MAGALLANES",Ms. Tess,854-9973 loc.222
,Save the Children ,Save the Children ,Unit 5E New Wealth Properties 3rd Ave. Brgy. Joseph Sitt Bagumbayan Taguig City,None,.
,SAWASDEE MARKETING,SAWASDEE MARKETING,999 Isabel Ave. Governor Pascual Potrero Malabon City,Ms. Cris Ann/Mr. ben,354-6054
,SB PRINT AND PACKAGING,SB PRINT AND PACKAGING,Marian rd. Brgy.San Martin de Porres Paranaque City,Ms.Karen,822-0421/822-9720
,SCIENTIFIC BIOTECH SPECIALTIES INC,SCIENTIFIC BIOTECH SPECIALTIES INC,UNIT 502 METROSTAR BLDG METROPOLITAN AVE BRGY STA CRUZ MAKATI,Hazzel Morales,899 65 57/310-5096 Hazel
,Sea Oil Philippines Inc.,Sea Oil Philippines Inc.,"22F Taiapan Place Bldg. F. Ortigas Jr. Road, Ortigas Center, Pasig City",Arvin Beralde,3971010 Loc 5212 or 5213
,SEA STAR EXPRESS CORP.,SEA STAR EXPRESS CORP.,6th flr. Magsaysay Bldg. Roxas Blvd. Ermita Manila/ SOUTH,Ms. Ethel,522-77-88/COLLECTIONS ELLA 5281591 - 94collection /ELLA follow up ms. ethel
,Seammed Pharma Inc,Seammed Pharma Inc,"#54 A 13th Ave. Brgy. Socorro Murphy, Cubao, Quezon City (near Ali Mall, bet. Main Ave & Liberty Ave",Jen Romano,995-8293
